name,address,rate,location,cost,Ambience,Parking,Suggested Food
Jalsa,"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",4.1,Banashankari,800.0,excellent,No,"masala papad,panner,baby corn starters,lemon and coriander soup,butter roti,olive and chilli paratha,Pumpkin Halwa,kulchas,Cheese chilli paratha,Bhutta palak methi curry,Lemon Chicken,Egg fried rice,""Alice in Junoon"",soya chaap"
Spice Elephant,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",4.1,Banashankari,800.0,family-friendly,No,"Chicken biriyani,Mutton biriyani,Thom yum Thai soup,panner curry,paneer uttar dakshin,paneer kurchan,Gobi hara pyaz,mix veg,Lassi,Spice elephant soup,Lasooni fish tikka"
San Churro Cafe,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,800.0,bad,,"Desserts,Nutella churros,Thai green curry,Churros,Pizza,Hot chocolate,Nachos,Pink pasta,Caramel pudding"
Addhuri Udupi Bhojana,"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",3.7,Banashankari,300.0,average,No,"masala dosa,holige,pineapple pickle,Payasam,Kosambari,appekai saru,masala dosa,pulka,pulav,veg rice bath,kai holige,mango soup"
Grand Village,"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",3.8,Basavanagudi,600.0,family-friendly,,"Jaljeera,buttermilk,chat papdi,bhajiya,dosa,pav bhaji,noodles,curries,kulcha,roti,Jalebies,gulab jamuns"
Timepass Dinner,"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",3.8,Basavanagudi,600.0,family-friendly,,"soups,babycorn starters,butter naan,kadai panner,veg kohlapuri,pease pulav"
Rosewood International Hotel - Bar  Restaurant,"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore",3.6,Mysore Road,800.0,family-friendly,,"Honey Lemon Chicken,Chicken Manchow Soup,Chicken grill"
Onesta,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",4.6,Banashankari,600.0,excellent,,"starters,pizzas,pasta,tiramisu shots,mozzarella cheese balls,chat pizza,herbed wedges,bacon pizza,walnut tart,peanut-butter mousse,Assorted Bruschetta,Mexican Veg Delight pizza,Farmhouse Special pizza,Virgin Mojitos,Kiwi & Basil Fizz,Caramel Walnut Tart,Chilli chocolate tart,Baked Cherry Cheesecake,Penne Al Pesto"
Penthouse Cafe,"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",4.0,Banashankari,700.0,friends-hangout,,"Veg Steak,pasta,pizza,sizzler,BBQ chicken wings,Nachos Cheese Salsa,BBQ Chicken Grilled Burger,Jalapeno Cottage Cheese Burger,fruit beer,Cheese balls,Pink pasta,Garlic bread,French fries,Nachos Pizza"
Smacznego,"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",4.2,Banashankari,550.0,friends-hangout,,"cheesy fries,Delicious pasta,loaded fries,white sauce pasta,cheesy loaded nachos,waffles,bubble tea,saucy fries,mixed cream pasta,green fries,spicy fries"
Caf Down The Alley,"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",4.1,Banashankari,500.0,friends-hangout,,"waffles,Mango Smoothies,Almond Smoothies,Potato Wedges,Pesto Veg Pasta,Alfredo Veg Pasta,Chilly Baby Corn,French Fries,Black currant,Lychee Smoothies,Chilli cheese Maggi,blue lagoon,sandwiches,nuggets"
Cafe Shuffle,"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",4.2,Banashankari,600.0,friends-hangout,,"BBQ chicken wings,chef's special pizza,Jalapeo cheese balls,Veg Lasagne,chicken tikka pizza,fish fingers,mushroom Manchurian,milkshakes,snicker milkshake"
The Coffee Shack,"6th Block, 3rd Stage, Banashankari, Bangalore",4.2,Banashankari,500.0,friends-hangout,,"pancakes with chocolate syrup and ice cream,Nachos,Masala Maggie,scrambled eggs,pasta,chicken barbecue,nachos,chicken and spaghetti,choco fantasy brownie,Jalapeo cheese balls,Veg Alfredo Pasta,Virgin Mojito,Smokey Chicken Burger,veg paneer pizza,twistato,virgin mojito,savoury crepes,Caramel latte,naughty choco jar,nutella banana shake,corn cheese balls,garlic bread,green apple juice,spinach corn savory crepes,french ratatouille,cheesy fries,Aribiatta pasta,sandwich"
Caf-Eleven,"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",4.0,Banashankari,450.0,friends-hangout,,"lemon chicken,dragon chicken,jalapeno poppers,BBQ veg pizza,Arrabiata pasta,jalapeno cheese balls,Oreo milkshake,cheese toasts,babycorn pepper dry,cafe frappe,mushroom pepper"
San Churro Cafe,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,800.0,bad,No,"Thai green curry,pizza,lasagne,Nutella churros,cheesecake,Churros,Hot Chocolate,Nachos,pink pasta,Cross Country Ranch pizza,pasta,caramel pudding"
Cafe Vivacity,"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,650.0,excellent,Yes,"filter coffee,french fries,brownie with ice cream,Potato Wedges,Corn n Cheese Garlic Bread,KitKat Milkshake,Belgian Waffle with Icecream,Red Velvet Cupcake"
Catch-up-ino,"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",3.9,Banashankari,800.0,bad,,"hookah,masala french fries"
Kirthi's Biryani,"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",3.8,Banashankari,700.0,,,pizza
